"Date","Country","Latitude","Lab","LabNo","Area","AreaNum","Notes","pH","OM360","TECM3","PM3","KM3","CaM3","MgM3","NaM3","SM3","Cl","EC12","BM3","FeM3","MnM3","CuM3","ZnM3","AlM3","PB2","PO","NO3N","NH4N"
2015-06-25,"US",41.12,"Brookside","0977-1","g","ch","bemt",7,2.61,6.76,138,59,972,160,27,25,10.31,0.09,0.67,391,57,21.05,17.27,498,152,20,1.1,2
2015-06-25,"US",41.12,"Brookside","0978-1","g","12","bemt",7.3,2.56,6.01,91,47,945,98,24,16,9.86,0.08,0.64,289,89,39.07,19.13,379,105,16,2,1.5
2015-06-25,"US",41.12,"Brookside","0979-1","g","18","bemt",6.3,0.8,2.17,88,24,275,35,23,9,9.5,0.03,0.25,178,13,7.47,7.47,143,76,16,NA,1.6
2013-11-14,"US",26.25,"Brookside","0282-1","f","15","GN-1",7.6,1.84,7.33,47,49,1220,70,55,17,43.98,0.2,0.63,141,101,1.81,15.07,137,76,11,10.4,6.3
2013-11-14,"US",26.25,"Brookside","0281-1","t","02","GN-1",7.1,1.56,6.09,63,41,976,72,56,23,45.98,0.14,0.63,126,122,1.69,8.67,105,105,10,6,3.3
2013-11-14,"US",26.25,"Brookside","0283-1","g","15","Tifeagle",7,0.63,4.11,126,65,586,76,46,33,23.22,0.15,0.3,77,102,1.46,7.12,182,138,16,3,4.3
2013-10-22,"US",44.18,"Brookside","0014-1","g","18","bent poa",5.7,2.02,5.57,32,48,555,102,34,11,5.91,0.04,0.37,326,11,5.55,4.86,421,89,10,1.9,8.1
2013-10-22,"US",44.18,"Brookside","0015-1","t","02","bent poa rye",5.6,4.15,5.74,56,72,560,90,23,11,4.17,0.03,0.22,158,12,1.17,2.86,1294,129,14,1.5,11.6
2013-10-22,"US",44.18,"Brookside","0016-1","f","07","bent poa",5.5,3.41,8.37,68,106,783,121,30,12,3,0.05,0.25,204,12,1.17,2.45,1260,134,19,6,7.5
2015-05-13,"US",35.95,"Brookside","0336-1","g","0","bent",6,0.94,2.88,57,59,335,38,34,12,7.22,0.05,0.31,331,108,1.22,3.41,294,66,17,1.2,2.2
2015-05-13,"US",35.95,"Brookside","0337-1","O","01","tiff 419",5.6,2.27,6.57,23,136,608,105,28,9,21.12,0.08,0.3,197,104,1.18,1.26,631,33,14,6.3,4
2015-05-13,"US",35.95,"Brookside","0338-1","O","02","bluegrass",5.9,0.76,4.54,18,28,596,35,28,8,16.72,0.07,NA,85,4,0.81,1.7,95,14,4,18.3,7.7
2014-03-17,"CA",48.42,"Brookside","0081-1","t","01_03_05_06","annual bluegrass",6.8,1.81,6.33,129,122,941,80,37,22,11.69,0.08,0.41,279,33,3.59,3.53,326,303,25,10.9,3.8
2014-03-17,"CA",48.42,"Brookside","0080-1","f","03_04_055","annual bluegrass",5.7,9.24,12.72,206,158,1482,111,38,21,11.64,0.11,0.51,215,14,2.43,9.44,863,363,60,17.8,5.6
2014-03-17,"CA",48.42,"Brookside","0079-1","g","01_11-12","annual bluegrass",6.7,2.03,6.35,74,112,957,66,32,22,5,0.07,0.37,239,20,4.07,3.91,312,160,17,9.1,4.1
2013-10-02,"US",42.74,"Brookside","0194-1","t","3","poa bent",7.3,3.82,7.69,81,116,1182,122,34,31,13.9,0.19,0.56,306,40,2.82,4.6,337,125,13,8,3.8
2013-10-02,"US",42.74,"Brookside","0193-1","g","1","poa bent",6.8,2.23,5.58,82,60,806,101,30,11,21.21,0.09,0.52,212,52,5.79,10.71,142,109,16,7.7,3.9
2013-10-02,"US",42.74,"Brookside","0195-1","f","fwy","poa bent",6.5,10.15,13.85,32,117,1985,207,43,43,16.53,0.21,0.94,304,38,3.46,5.31,567,41,8,6.3,4.4
2013-12-10,"US",40.03,"Brookside","0045-1","t","03","rye blue bent",5.3,5.16,9.78,82,74,843,125,34,16,12.88,0.07,1.21,202,59,4.94,21.14,889,148,27,1.2,3.4
2013-12-10,"US",40.03,"Brookside","0046-1","g","15","poa bent",6.5,2.32,5.02,119,75,675,81,35,18,14.95,0.07,1.06,202,9,1.48,11.62,185,127,21,1.2,2.7
2013-12-10,"US",40.03,"Brookside","0047-1","g","17","poa bent",6.3,1.94,4.77,105,66,623,73,30,14,14.99,0.08,1,165,12,1.23,11.55,157,102,19,0.9,2.4
2014-08-26,"US",44.98,"Brookside","0616-1","f","5","?",6.9,7.59,20.18,91,129,2844,516,27,19,1.29,0.17,0.96,375,45,6.61,22.66,333,160,26,4.7,14.7
2014-08-26,"US",44.98,"Brookside","0617-1","g","18","?",7.2,2.61,10.28,132,49,1536,236,18,12,2.99,0.1,0.75,376,42,3.56,15.91,153,234,30,5.1,9.6
2014-08-26,"US",44.98,"Brookside","0615-1","t","g","?",7.2,3.63,13.53,84,58,2103,266,19,14,2.04,0.16,0.87,284,39,3.15,7.75,260,178,26,6.5,13.3
